Pair.ID, Chemistry
2, Bad
7, Bad
10, Bad
12, Good
23, Bad
29, Good
33, Good
34, Bad
38, Bad
40, Bad
45, Good
56, Bad
61, Bad
67, Bad
71, Good
76, Bad
78, Good
83, Good
89, Bad
90, Good
96, Good
101, Bad
112, Good
119, Bad
126, Good
134, Bad
136, Good
137, Bad
140, Bad
141, Bad
149, Bad
151, Bad
155, Bad
157, Bad
174, Good
176, Good
178, Good
184, Good
185, Bad
187, Bad
189, Bad
195, Bad
205, Bad
215, Bad
216, Good
219, Bad
232, Good
239, Good
262, Bad
267, Bad
274, Bad
275, Bad
280, Good
284, Bad
292, Good
297, Bad
321, Bad
325, Bad
327, Bad
330, Bad
334, Good
341, Bad
343, Bad
349, Bad
350, Good
357, Bad
363, Bad
364, Good
366, Bad
374, Good
384, Bad
392, Bad
393, Bad
396, Good
406, Good
417, Bad
420, Good
422, Bad
424, Good
430, Bad
432, Good
437, Good
443, Bad
444, Bad
447, Good
449, Good
451, Good
454, Good
457, Good
473, Good
477, Bad
487, Good
498, Bad
514, Bad
522, Good
542, Good
558, Bad
561, Bad
578, Bad
587, Good
592, Bad
595, Good
601, Good
603, Good
604, Bad
605, Good
608, Bad
613, Good
618, Bad
629, Good
630, Bad
633, Good
639, Good
641, Bad
642, Good
643, Good
644, Good
645, Bad
652, Bad
658, Good
663, Good
665, Good
672, Bad
673, Good
676, Bad
678, Good
684, Good
688, Good
690, Good
695, Bad
696, Good
698, Good
702, Good
703, Bad
707, Bad
715, Bad
721, Good
733, Bad
734, Bad
740, Bad
743, Bad
746, Good
750, Good
754, Good
755, Good
761, Bad
762, Bad
767, Bad
773, Bad
774, Bad
792, Good
793, Bad
795, Good
796, Good
797, Bad
802, Good
807, Bad
808, Good
809, Bad
815, Bad
816, Good
827, Bad
847, Good
848, Bad
849, Bad
850, Bad
859, Bad
866, Good
867, Good
868, Good
870, Good
882, Bad
887, Bad
892, Good
900, Bad
909, Good
915, Good
923, Good
925, Bad
927, Good
936, Bad
937, Good
939, Good
945, Good
948, Bad
949, Bad
950, Bad
955, Good
960, Bad
963, Good
966, Good
967, Bad
978, Good
979, Bad
986, Good
993, Bad
994, Good
997, Bad
1003, Good
1020, Bad
1023, Bad
1032, Bad
1033, Good
1034, Bad
1035, Bad
1037, Bad
1038, Bad
1041, Good
1047, Good
1049, Bad
1064, Good
1073, Bad
1078, Good
1081, Bad
1087, Good
1094, Good
1096, Good
1097, Good
1098, Bad
1099, Good
1106, Good
1109, Good
1110, Good
1118, Good
1119, Bad
1124, Good
1129, Bad
1130, Good
1137, Bad
1143, Bad
1154, Bad
1157, Bad
1165, Bad
1168, Bad
1180, Bad
1182, Bad
1187, Bad
1189, Bad
1199, Bad
1218, Good
1234, Good
1235, Bad
1240, Good
1241, Bad
1242, Bad
1246, Good
1248, Good
1252, Good
1255, Bad
1259, Bad
1269, Bad
1273, Bad
1274, Good
1277, Good
1289, Good
1299, Good
1306, Bad
1313, Bad
1319, Good
1335, Good
1336, Good
1358, Bad
1359, Bad
1366, Bad
1369, Bad
1373, Bad
1374, Good
1381, Good
1388, Good
1398, Good
1415, Bad
1416, Good
